,No.,Pos.,Player,Date of birth (age),Caps,Club,Year
2,3,FW,Asamoah Gyan,22 November 1985,13,Udinese[50],2006
3,4,DF,Samuel Kuffour,3 September 1976,58,Roma,2006
4,5,DF,John Mensah,29 November 1982,33,Rennes,2006
5,6,DF,Emmanuel Pappoe,3 March 1981,27,Hapoel Kfar Saba,2006
6,7,DF,Illiasu Shilla,26 October 1982,2,Asante Kotoko,2006
7,8,MF,Michael Essien,3 December 1982,17,Chelsea,2006
8,9,MF,Derek Boateng,2 May 1983,11,AIK,2006
9,10,MF,Stephen Appiah (c),24 December 1980,42,Fenerbahçe,2006
10,11,MF,Sulley Muntari,27 August 1984,16,Udinese,2006
11,12,FW,Alex Tachie-Mensah,15 February 1977,5,St. Gallen,2006
12,13,DF,Habib Mohamed,10 December 1983,1,King Faisal Babes,2006
13,14,FW,Matthew Amoah,24 October 1980,16,Borussia Dortmund,2006
14,15,MF,John Paintsil,15 June 1981,21,Hapoel Tel Aviv,2006
15,16,GK,George Owu,17 June 1982,6,Ashanti Gold,2006
16,17,DF,Daniel Quaye,25 December 1980,7,Hearts of Oak,2006
17,18,DF,Eric Addo,12 November 1978,6,PSV Eindhoven,2006
18,19,FW,Razak Pimpong,30 December 1982,4,Copenhagen,2006
19,20,FW,Otto Addo,9 June 1975,13,Mainz 05,2006
20,21,DF,Issah Ahmed,24 May 1982,10,Randers,2006
21,22,GK,Richard Kingson,13 June 1978,33,Ankaraspor,2006
22,23,MF,Haminu Draman,1 April 1986,7,Red Star Belgrade[51],2006
0,1,GK,Gianluigi Buffon,28 January 1978,60,Juventus,2006
1,2,DF,Cristian Zaccardo,21 December 1981,12,Palermo,2006
2,3,DF,Fabio Grosso,28 November 1977,17,Palermo[52],2006
3,4,MF,Daniele De Rossi,24 July 1983,17,Roma,2006
4,5,DF,Fabio Cannavaro (c),13 September 1973,93,Juventus,2006
5,6,DF,Andrea Barzagli,8 May 1981,8,Palermo,2006
6,7,FW,Alessandro Del Piero,9 November 1974,74,Juventus,2006
7,8,MF,Gennaro Gattuso,9 January 1978,43,Milan,2006
8,9,FW,Luca Toni,26 May 1977,18,Fiorentina,2006
9,10,FW,Francesco Totti,27 September 1976,51,Roma,2006
10,11,FW,Alberto Gilardino,5 July 1982,15,Milan,2006
11,12,GK,Angelo Peruzzi,16 February 1970,31,Lazio,2006
12,13,DF,Alessandro Nesta,19 March 1976,74,Milan,2006
13,14,GK,Marco Amelia,2 April 1982,1,Livorno,2006
14,15,FW,Vincenzo Iaquinta,21 November 1979,12,Udinese,2006
15,16,MF,Mauro Camoranesi,4 October 1976,21,Juventus,2006
16,17,MF,Simone Barone,30 April 1978,13,Palermo,2006
17,18,FW,Filippo Inzaghi,9 August 1973,49,Milan,2006
18,19,DF,Gianluca Zambrotta,19 February 1977,52,Juventus,2006
19,20,MF,Simone Perrotta,17 September 1977,24,Roma,2006
20,21,MF,Andrea Pirlo,19 May 1979,24,Milan,2006
21,22,DF,Massimo Oddo,14 June 1976,20,Lazio,2006
22,23,DF,Marco Materazzi,19 August 1973,28,Inter Milan,2006
0,1,GK,Tim Howard,6 March 1979,16,Manchester United[53],2006
1,2,DF,Chris Albright,14 January 1979,20,LA Galaxy[54],2006
2,3,DF,Carlos Bocanegra,25 May 1979,40,Fulham,2006
3,4,MF,Pablo Mastroeni,26 August 1976,48,Colorado Rapids,2006
4,5,MF,John O'Brien,29 August 1977,31,Chivas USA,2006
5,6,DF,Steve Cherundolo,19 February 1979,35,Hannover 96,2006
6,7,MF,Eddie Lewis,17 May 1974,69,Leeds United,2006
7,8,MF,Clint Dempsey,9 March 1983,21,New England Revolution,2006
8,9,FW,Eddie Johnson,31 March 1984,18,Kansas City Wizards,2006
9,10,MF,Claudio Reyna (c),20 July 1973,109,Manchester City,2006
10,11,FW,Brian Ching,24 May 1978,20,Houston Dynamo,2006
11,12,DF,Gregg Berhalter,1 August 1973,44,Energie Cottbus[55],2006
12,13,DF,Jimmy Conrad,12 February 1977,15,Kansas City Wizards,2006
13,14,MF,Ben Olsen,3 May 1977,34,D.C. United,2006
14,15,MF,Bobby Convey,27 May 1983,39,Reading,2006
15,16,FW,Josh Wolff,25 February 1977,47,Kansas City Wizards,2006
16,17,MF,DaMarcus Beasley,24 May 1982,58,PSV Eindhoven,2006
17,18,GK,Kasey Keller,29 November 1969,93,Borussia Mönchengladbach,2006
18,19,GK,Marcus Hahnemann,15 June 1972,6,Reading,2006
19,20,FW,Brian McBride,19 June 1972,92,Fulham,2006
20,21,FW,Landon Donovan,4 March 1982,81,LA Galaxy,2006
21,22,DF,Oguchi Onyewu,13 May 1982,14,Standard Liège,2006
22,23,DF,Eddie Pope,24 December 1973,80,Real Salt Lake,2006
0,1,GK,Mark Schwarzer,6 October 1972,37,Middlesbrough,2006
1,2,DF,Lucas Neill,9 March 1978,25,Blackburn Rovers,2006
2,3,DF,Craig Moore,12 December 1975,33,Newcastle United,2006
3,4,MF,Tim Cahill,6 December 1979,16,Everton,2006
4,5,MF,Jason Culina,5 August 1980,13,PSV Eindhoven,2006
5,6,DF,Tony Popovic,4 July 1973,56,Crystal Palace[56],2006
6,7,DF,Brett Emerton,22 February 1979,48,Blackburn Rovers,2006
7,8,MF,Josip Skoko,10 December 1975,46,Wigan Athletic[57],2006
8,9,FW,Mark Viduka (c),9 October 1975,33,Middlesbrough,2006
9,10,FW,Harry Kewell,22 September 1978,20,Liverpool,2006
10,11,DF,Stan Lazaridis,16 August 1972,59,Birmingham City[58],2006
11,12,GK,Ante Covic,13 June 1975,1,Hammarby,2006
12,13,MF,Vince Grella,5 October 1979,17,Parma,2006
13,14,MF,Scott Chipperfield,30 December 1975,46,Basel,2006
14,15,FW,John Aloisi,5 February 1976,41,Alavés,2006
15,16,DF,Michael Beauchamp,8 March 1981,2,Central Coast Mariners[59],2006
16,17,FW,Archie Thompson,23 October 1978,20,Melbourne Victory[60],2006
17,18,GK,Zeljko Kalac,16 December 1972,52,Milan,2006
18,19,FW,Joshua Kennedy,20 August 1982,1,Dynamo Dresden[61],2006
19,20,DF,Luke Wilkshire,2 October 1981,8,Bristol City,2006
20,21,MF,Mile Sterjovski,27 May 1979,22,Basel,2006
21,22,DF,Mark Milligan,4 August 1985,1,Sydney FC,2006
22,23,MF,Mark Bresciano,11 February 1980,24,Parma,2006
0,1,GK,Dida,7 October 1973,86,Milan,2006
1,2,DF,Cafu (c),7 June 1970,138,Milan,2006
2,3,DF,Lúcio,8 May 1978,50,Bayern Munich,2006
3,4,DF,Juan,1 February 1979,38,Bayer Leverkusen,2006
4,5,MF,Emerson,4 April 1976,70,Juventus,2006
5,6,DF,Roberto Carlos,10 April 1973,121,Real Madrid,2006
6,7,FW,Adriano,17 February 1982,32,Inter Milan,2006
7,8,MF,Kaká,22 April 1982,38,Milan,2006
8,9,FW,Ronaldo,22 September 1976,92,Real Madrid,2006
9,10,MF,Ronaldinho,21 March 1980,63,Barcelona,2006
10,11,MF,Zé Roberto,6 July 1974,79,Bayern Munich[62],2006
11,12,GK,Rogério Ceni,22 January 1973,15,São Paulo,2006
12,13,DF,Cicinho,24 June 1980,10,Real Madrid,2006
13,14,DF,Luisão,13 February 1981,19,Benfica,2006
14,15,DF,Cris,3 June 1977,16,Lyon,2006
15,16,DF,Gilberto,25 April 1976,9,Hertha BSC,2006
16,17,MF,Gilberto Silva,7 October 1976,36,Arsenal,2006
17,18,MF,Mineiro,2 August 1975,2,São Paulo[63],2006
18,19,MF,Juninho Pernambucano,30 January 1975,37,Lyon,2006
19,20,MF,Ricardinho,23 May 1976,19,Corinthians,2006
20,21,FW,Fred,3 October 1983,3,Lyon,2006
21,22,GK,Júlio César,3 September 1979,11,Inter Milan,2006
22,23,FW,Robinho,25 January 1984,23,Real Madrid,2006
0,1,GK,Stipe Pletikosa,8 January 1979,50,Shakhtar Donetsk[64],2006
1,2,MF,Darijo Srna,1 May 1982,36,Shakhtar Donetsk,2006
2,3,DF,Josip Šimunić,18 February 1978,42,Hertha BSC,2006
3,4,DF,Robert Kovač,6 April 1974,56,Juventus,2006
4,5,MF,Igor Tudor,16 April 1978,52,Juventus[65],2006
5,6,MF,Jurica Vranješ,31 January 1980,24,Werder Bremen,2006
6,7,DF,Dario Šimić,12 November 1975,80,Milan,2006
7,8,MF,Marko Babić,28 January 1981,33,Bayer Leverkusen,2006
8,9,FW,Dado Pršo,5 November 1974,29,Rangers,2006
9,10,MF,Niko Kovač (c),15 October 1971,58,Hertha BSC[66],2006
10,11,DF,Mario Tokić,23 June 1975,28,Austria Wien,2006
11,12,GK,Joey Didulica,14 October 1977,4,Austria Wien,2006
12,13,DF,Stjepan Tomas,6 March 1976,48,Galatasaray,2006
13,14,MF,Luka Modrić,9 September 1985,5,Dinamo Zagreb,2006
14,15,MF,Ivan Leko,7 February 1978,13,Club Brugge,2006
15,16,MF,Jerko Leko,9 April 1980,36,Dynamo Kyiv[67],2006
16,17,FW,Ivan Klasnić,29 January 1980,20,Werder Bremen,2006
17,18,FW,Ivica Olić,14 September 1979,36,CSKA Moscow,2006
18,19,MF,Niko Kranjčar,13 August 1984,21,Hajduk Split,2006
19,20,MF,Anthony Šerić,15 January 1979,14,Panathinaikos,2006
20,21,FW,Boško Balaban,15 October 1978,27,Club Brugge,2006
21,22,FW,Ivan Bošnjak,6 February 1979,13,Dinamo Zagreb[68],2006
22,23,GK,Tomislav Butina,30 March 1974,28,Club Brugge,2006
0,1,GK,Seigo Narazaki,15 April 1976,50,Nagoya Grampus Eight,2006
1,2,DF,Teruyuki Moniwa,8 September 1981,8,FC Tokyo,2006
2,3,DF,Yūichi Komano,25 July 1981,8,Sanfrecce Hiroshima,2006
3,4,MF,Yasuhito Endō,28 January 1980,40,Gamba Osaka,2006
4,5,DF,Tsuneyasu Miyamoto (c),7 February 1977,69,Gamba Osaka,2006
5,6,DF,Kōji Nakata,9 July 1979,55,Basel,2006
6,7,MF,Hidetoshi Nakata,22 January 1977,74,Fiorentina[69],2006
7,8,MF,Mitsuo Ogasawara,5 April 1979,51,Kashima Antlers,2006
8,9,FW,Naohiro Takahara,4 June 1979,41,Hamburger SV[70],2006
9,10,MF,Shunsuke Nakamura,24 June 1978,60,Celtic,2006
10,11,FW,Seiichiro Maki,7 August 1980,10,JEF United,2006
11,12,GK,Yoichi Doi,25 July 1973,4,FC Tokyo,2006
12,13,FW,Atsushi Yanagisawa,27 May 1977,56,Kashima Antlers,2006
13,14,DF,Alessandro Santos,20 July 1977,72,Urawa Red Diamonds,2006
14,15,MF,Takashi Fukunishi,1 September 1976,62,Júbilo Iwata,2006
15,16,FW,Masashi Oguro,4 May 1980,18,Grenoble,2006
16,17,MF,Junichi Inamoto,18 September 1979,63,West Bromwich Albion,2006
17,18,MF,Shinji Ono,27 September 1979,54,Urawa Red Diamonds,2006
18,19,DF,Keisuke Tsuboi,16 September 1979,33,Urawa Red Diamonds,2006
19,20,FW,Keiji Tamada,11 April 1980,39,Nagoya Grampus Eight,2006
20,21,DF,Akira Kaji,13 January 1980,43,Gamba Osaka,2006
21,22,DF,Yuji Nakazawa,25 February 1978,50,Yokohama F. Marinos,2006
22,23,GK,Yoshikatsu Kawaguchi,15 August 1975,89,Júbilo Iwata,2006
0,1,GK,Mickaël Landreau,14 May 1979,3,Nantes[71],2006
1,2,DF,Jean-Alain Boumsong,14 December 1979,19,Newcastle United,2006
2,3,DF,Eric Abidal,11 September 1979,8,Lyon,2006
3,4,MF,Patrick Vieira,23 June 1976,87,Juventus,2006
4,5,DF,William Gallas,17 August 1977,40,Chelsea,2006
5,6,MF,Claude Makélélé,18 February 1973,43,Chelsea,2006
6,7,MF,Florent Malouda,13 June 1980,13,Lyon,2006
7,8,MF,Vikash Dhorasoo,10 October 1973,16,Paris Saint-Germain,2006
8,9,FW,Sidney Govou,27 July 1979,19,Lyon[72],2006
9,10,MF,Zinedine Zidane (c),23 June 1972,102,Real Madrid[73],2006
10,11,FW,Sylvain Wiltord,10 May 1974,80,Lyon,2006
11,12,FW,Thierry Henry,17 August 1977,78,Arsenal,2006
12,13,DF,Mikaël Silvestre,9 August 1977,39,Manchester United,2006
13,14,FW,Louis Saha,8 August 1978,9,Manchester United,2006
14,15,DF,Lilian Thuram,1 January 1972,114,Juventus,2006
15,16,GK,Fabien Barthez,28 June 1971,80,Marseille[74],2006
16,17,DF,Gaël Givet,9 October 1981,11,Monaco,2006
17,18,MF,Alou Diarra,15 July 1981,9,Lens,2006
18,19,DF,Willy Sagnol,18 March 1977,38,Bayern Munich,2006
19,20,FW,David Trezeguet,15 October 1977,63,Juventus,2006
20,21,DF,Pascal Chimbonda,21 February 1979,1,Wigan Athletic,2006
21,22,MF,Franck Ribéry,7 April 1983,3,Marseille,2006
22,23,GK,Grégory Coupet,31 December 1972,18,Lyon,2006
0,1,GK,Lee Woon-jae (c),26 April 1973,97,Suwon Samsung Bluewings,2006
1,2,DF,Kim Young-chul,30 June 1976,12,Seongnam Ilhwa Chunma,2006
2,3,DF,Kim Dong-jin,29 January 1982,34,FC Seoul,2006
3,4,DF,Choi Jin-cheul,26 March 1971,62,Jeonbuk Hyundai Motors,2006
4,5,MF,Kim Nam-il,14 March 1977,66,Suwon Samsung Bluewings,2006
5,6,DF,Kim Jin-kyu,16 February 1985,23,Júbilo Iwata,2006
6,7,MF,Park Ji-sung,25 February 1981,60,Manchester United,2006
7,8,MF,Kim Do-heon,14 July 1982,75,Seongnam Ilhwa Chunma,2006
8,9,FW,Ahn Jung-hwan,27 January 1976,61,MSV Duisburg,2006
9,10,FW,Park Chu-young,10 July 1985,18,FC Seoul,2006
10,11,FW,Seol Ki-hyeon,8 January 1979,67,Wolverhampton Wanderers,2006
11,12,DF,Lee Young-pyo,23 April 1977,85,Tottenham Hotspur,2006
12,13,MF,Lee Eul-yong,8 September 1975,47,Trabzonspor,2006
13,14,FW,Lee Chun-soo,9 July 1981,62,Ulsan Hyundai Horangi,2006
14,15,MF,Baek Ji-hoon,28 February 1985,12,FC Seoul,2006
15,16,FW,Chung Kyung-ho,22 May 1980,40,Gwangju Sangmu Phoenix,2006
16,17,MF,Lee Ho,22 October 1984,11,Ulsan Hyundai Horangi,2006
17,18,DF,Kim Sang-sik,17 December 1976,42,Seongnam Ilhwa Chunma,2006
18,19,FW,Cho Jae-jin,9 July 1981,21,Shimizu S-Pulse,2006
19,20,GK,Kim Yong-dae,11 October 1979,15,Seongnam Ilhwa Chunma,2006
20,21,GK,Kim Young-kwang,28 June 1983,6,Jeonnam Dragons,2006
21,22,DF,Song Chong-gug,20 February 1979,51,Suwon Samsung Bluewings,2006
22,23,DF,Cho Won-hee,17 April 1983,13,Suwon Samsung Bluewings,2006
0,1,GK,Pascal Zuberbühler,8 January 1971,40,Basel,2006
1,2,DF,Johan Djourou,18 January 1987,2,Arsenal,2006
2,3,DF,Ludovic Magnin,20 April 1979,30,VfB Stuttgart,2006
3,4,DF,Philippe Senderos,14 February 1985,12,Arsenal,2006
4,5,MF,Xavier Margairaz,17 January 1984,3,Zürich,2006
5,6,MF,Johann Vogel (c),8 March 1977,85,Milan,2006
6,7,MF,Ricardo Cabanas,17 January 1979,37,1. FC Köln,2006
7,8,DF,Raphaël Wicky,26 April 1977,67,Hamburger SV,2006
8,9,FW,Alexander Frei,15 July 1979,45,Rennes[75],2006
9,10,FW,Daniel Gygax,28 August 1981,22,Lille,2006
10,11,FW,Marco Streller,18 June 1981,10,1. FC Köln,2006
11,12,GK,Diego Benaglio,8 September 1983,1,Nacional,2006
12,13,DF,Stéphane Grichting,30 March 1979,6,Auxerre,2006
13,14,MF,David Degen,15 February 1983,3,Basel[76],2006
14,15,MF,Blerim Džemaili,12 April 1986,3,Zürich,2006
15,16,MF,Tranquillo Barnetta,22 May 1985,13,Bayer Leverkusen,2006
16,17,DF,Christoph Spycher,30 March 1978,21,Eintracht Frankfurt,2006
17,18,FW,Mauro Lustrinelli,26 February 1976,5,Sparta Prague,2006
18,19,MF,Valon Behrami,19 April 1985,6,Lazio,2006
19,20,DF,Patrick Müller,17 December 1976,64,Lyon,2006
20,21,GK,Fabio Coltorti,3 December 1980,2,Grasshopper,2006
21,22,MF,Hakan Yakin,22 February 1977,46,Young Boys[77],2006
22,23,DF,Philipp Degen,15 February 1983,15,Borussia Dortmund,2006
0,1,GK,Ouro-Nimini Tchagnirou,31 December 1977,9,Djoliba,2006
1,2,DF,Daré Nibombé,16 June 1980,16,Mons,2006
2,3,DF,Jean-Paul Abalo (c),26 June 1975,65,APOEL,2006
3,4,FW,Emmanuel Adebayor,26 February 1984,29,Arsenal,2006
4,5,DF,Massamasso Tchangai,8 August 1978,34,Benevento,2006
5,6,MF,Yao Aziawonou,30 November 1979,32,Young Boys,2006
6,7,FW,Moustapha Salifou,1 June 1983,34,Brest,2006
7,8,MF,Kuami Agboh,28 December 1977,4,Beveren,2006
8,9,MF,Thomas Dossevi,6 March 1979,10,Valenciennes,2006
9,10,MF,Chérif Touré Mamam,13 January 1978,39,Metz,2006
10,11,FW,Robert Malm,21 August 1973,1,Brest,2006
11,12,DF,Eric Akoto,20 July 1980,32,Admira Wacker[79],2006
12,13,DF,Richmond Forson,23 May 1980,8,Poiré,2006
13,14,MF,Adékambi Olufadé,7 January 1980,24,Al-Siliyah,2006
14,15,MF,Alaixys Romao,18 January 1984,11,Louhans-Cuiseaux,2006
15,16,GK,Kossi Agassa,2 July 1978,49,Metz,2006
16,17,FW,Mohamed Kader,8 April 1979,46,Guingamp,2006
17,18,MF,Yao Junior Sènaya,19 April 1984,16,YF Juventus,2006
18,19,DF,Ludovic Assemoassa,18 September 1980,5,Ciudad de Murcia,2006
19,20,FW,Affo Erassa,19 February 1983,6,Moulins,2006
20,21,MF,Franck Atsou,1 August 1978,13,Al Hilal[80],2006
21,22,GK,Kodjovi Obilalé,8 October 1984,0,Étoile Filante,2006
22,23,DF,Assimiou Touré,1 January 1988,1,Bayer Leverkusen,2006
0,1,GK,Mohamed Al-Deayea,2 August 1972,175,Al Hilal,2006
1,2,DF,Ahmed Dokhi Al-Dosari,25 October 1976,68,Al-Ittihad,2006
2,3,DF,Redha Tukar,29 November 1975,37,Al-Ittihad,2006
3,4,DF,Hamad Al-Montashari,22 June 1982,32,Al-Ittihad,2006
4,5,DF,Naif Al-Qadi,3 April 1979,28,Al-Ahli,2006
5,6,MF,Omar Al-Ghamdi,11 April 1979,38,Al Hilal,2006
6,7,MF,Mohammed Ameen,29 April 1980,16,Al-Ittihad,2006
7,8,MF,Mohammed Noor,26 February 1978,63,Al-Ittihad,2006
8,9,FW,Sami Al-Jaber,11 December 1972,160,Al Hilal,2006
9,10,MF,Mohammad Al-Shalhoub,8 December 1980,48,Al Hilal,2006
10,11,FW,Saad Al-Harthi,3 February 1984,15,Al Nassr,2006
11,12,DF,Abdulaziz Khathran,31 July 1973,19,Al Hilal,2006
12,13,DF,Hussein Sulaimani (c),21 January 1977,97,Al-Ahli,2006
13,14,MF,Saud Kariri,8 July 1980,34,Al-Ittihad,2006
14,15,DF,Ahmed Al-Bahri,18 September 1980,11,Al Ettifaq,2006
15,16,MF,Khaled Aziz,14 July 1981,14,Al Hilal,2006
16,17,DF,Mohamed Al-Bishi,3 May 1987,0,Al-Ahli,2006
17,18,MF,Nawaf Al-Temyat,28 June 1976,56,Al Hilal,2006
18,19,DF,Mohammad Massad,17 February 1983,5,Al-Ahli,2006
19,20,FW,Yasser Al-Qahtani,10 October 1982,45,Al Hilal,2006
20,21,GK,Mabrouk Zaid,11 February 1979,33,Al-Ittihad,2006
21,22,GK,Mohammad Khouja,15 March 1982,8,Al Shabab,2006
22,23,FW,Malek Mouath,10 August 1981,5,Al-Ahli,2006
0,1,GK,Iker Casillas,20 May 1981,58,Real Madrid,2006
1,2,DF,Míchel Salgado,22 October 1975,50,Real Madrid,2006
2,3,DF,Mariano Pernía,4 May 1977,1,Getafe[81],2006
3,4,DF,Carlos Marchena,31 July 1979,27,Valencia,2006
4,5,DF,Carles Puyol,13 April 1978,47,Barcelona,2006
5,6,MF,David Albelda,1 September 1977,33,Valencia,2006
6,7,FW,Raúl (c),27 June 1977,95,Real Madrid,2006
7,8,MF,Xavi,25 January 1980,36,Barcelona,2006
8,9,FW,Fernando Torres,20 March 1984,30,Atlético Madrid,2006
9,10,MF,José Antonio Reyes,1 September 1983,19,Arsenal,2006
10,11,MF,Luis García,24 June 1978,10,Liverpool,2006
11,12,DF,Antonio López,13 September 1981,8,Atlético Madrid,2006
12,13,MF,Andrés Iniesta,11 May 1984,3,Barcelona,2006
13,14,MF,Xabi Alonso,25 November 1981,26,Liverpool,2006
14,15,DF,Sergio Ramos,30 March 1986,11,Real Madrid,2006
15,16,MF,Marcos Senna,17 July 1976,3,Villarreal,2006
16,17,MF,Joaquín,21 July 1981,38,Real Betis,2006
17,18,MF,Cesc Fàbregas,4 May 1987,4,Arsenal,2006
18,19,GK,Santiago Cañizares,18 December 1969,45,Valencia,2006
19,20,DF,Juanito,23 July 1976,15,Real Betis,2006
20,21,FW,David Villa,3 December 1981,8,Valencia,2006
21,22,DF,Pablo Ibáñez,3 August 1981,11,Atlético Madrid,2006
22,23,GK,Pepe Reina,31 August 1982,3,Liverpool,2006
0,1,GK,Ali Boumnijel,13 April 1966,48,Club Africain,2006
1,2,DF,Karim Essediri,29 July 1979,7,Rosenborg,2006
2,3,DF,Karim Haggui,21 January 1984,26,Strasbourg,2006
3,4,DF,Alaeddine Yahia,26 September 1981,13,Saint-Étienne,2006
4,5,FW,Ziad Jaziri,12 July 1978,61,Troyes,2006
5,6,DF,Hatem Trabelsi,25 January 1977,56,Ajax,2006
6,7,FW,Haykel Guemamdia,22 December 1981,13,Strasbourg[82],2006
7,8,MF,Mehdi Nafti,28 November 1978,29,Birmingham City,2006
8,9,MF,Yassine Chikhaoui,2 September 1986,1,Étoile du Sahel,2006
9,10,MF,Kaies Ghodhbane,7 January 1976,89,Konyaspor,2006
10,11,FW,Francileudo Santos,20 March 1979,28,Toulouse,2006
11,12,MF,Jawhar Mnari,8 November 1976,37,1. FC Nürnberg,2006
12,13,MF,Riadh Bouazizi (c),8 April 1973,85,Kayseri Erciyesspor,2006
13,14,MF,Adel Chedli,16 September 1976,38,1. FC Nürnberg,2006
14,15,DF,Radhi Jaïdi,30 August 1975,89,Bolton Wanderers,2006
15,16,GK,Adel Nefzi,16 March 1974,0,Monastir,2006
16,17,FW,Chaouki Ben Saada,1 July 1984,11,Bastia[83],2006
17,18,DF,David Jemmali,13 December 1974,2,Bordeaux,2006
18,19,DF,Anis Ayari,16 February 1982,24,Samsunspor,2006
19,20,MF,Hamed Namouchi,12 January 1984,14,Rangers,2006
20,21,DF,Karim Saidi,24 March 1983,15,Feyenoord[84],2006
21,22,GK,Hamdi Kasraoui,18 January 1983,6,Espérance de Tunis,2006
22,23,MF,Sofiane Melliti,18 August 1978,14,Gaziantepspor,2006
0,1,GK,Oleksandr Shovkovskyi,2 January 1975,68,Dynamo Kyiv,2006
1,2,DF,Andriy Nesmachniy,28 February 1979,49,Dynamo Kyiv,2006
2,3,DF,Oleksandr Yatsenko,24 February 1985,1,Kharkiv[85],2006
3,4,MF,Anatoliy Tymoshchuk,30 March 1979,55,Shakhtar Donetsk,2006
4,5,DF,Volodymyr Yezerskiy,15 November 1976,24,Dnipro Dnipropetrovsk,2006
5,6,DF,Andriy Rusol,16 January 1983,23,Dnipro Dnipropetrovsk,2006
6,7,FW,Andriy Shevchenko (c),29 September 1976,64,Milan[86],2006
7,8,MF,Oleh Shelayev,5 November 1976,19,Dnipro Dnipropetrovsk,2006
8,9,MF,Oleh Husyev,25 April 1983,25,Dynamo Kyiv,2006
9,10,FW,Andriy Voronin,21 July 1979,32,Bayer Leverkusen,2006
10,11,FW,Serhii Rebrov,3 June 1974,70,Dynamo Kyiv,2006
11,12,GK,Andriy Pyatov,28 June 1984,1,Vorskla Poltava,2006
12,13,DF,Dmytro Chyhrynskyi,7 November 1986,0,Shakhtar Donetsk,2006
13,14,MF,Andriy Husin,11 December 1972,64,Krylya Sovetov Samara,2006
14,15,FW,Artem Milevskyi,12 January 1985,0,Dynamo Kyiv,2006
15,16,FW,Andriy Vorobey,29 November 1978,53,Shakhtar Donetsk,2006
16,17,DF,Vladyslav Vashchuk,2 January 1975,58,Dynamo Kyiv,2006
17,18,MF,Serhiy Nazarenko,16 February 1980,15,Dnipro Dnipropetrovsk,2006
18,19,MF,Maksym Kalynychenko,26 January 1979,21,Spartak Moscow,2006
19,20,FW,Oleksiy Byelik,15 February 1981,15,Shakhtar Donetsk,2006
20,21,MF,Ruslan Rotan,29 October 1981,19,Dynamo Kyiv,2006
21,22,DF,Vyacheslav Sviderskyi,1 January 1979,6,Shakhtar Donetsk[87],2006
22,23,GK,Bohdan Shust,4 March 1986,2,Shakhtar Donetsk,2006
